id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:@angular/core,npm-top,npm,@angular/core,category-d-blocked,2,528,"yieldOS bloqueó @angular/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router-dom,npm-top,npm,react-router-dom,category-d-blocked,2,574,"yieldOS bloqueó react-router-dom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-redux,npm-top,npm,react-redux,category-d-blocked,2,570,"yieldOS bloqueó react-redux: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue-router,npm-top,npm,vue-router,category-d-blocked,2,567,"yieldOS bloqueó vue-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react,npm-top,npm,react,category-d-blocked,2,591,"yieldOS bloqueó react: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:rxjs,npm-top,npm,rxjs,category-d-blocked,2,521,"yieldOS bloqueó rxjs: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@vue/composition-api,npm-top,npm,@vue/composition-api,category-d-blocked,2,552,"yieldOS bloqueó @vue/composition-api: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router,npm-top,npm,react-router,category-d-blocked,2,589,"yieldOS bloqueó react-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-dom,npm-top,npm,react-dom,category-d-blocked,2,590,"yieldOS bloqueó react-dom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/common,npm-top,npm,@angular/common,category-d-blocked,2,554,"yieldOS bloqueó @angular/common: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/router,npm-top,npm,@angular/router,category-d-blocked,2,561,"yieldOS bloqueó @angular/router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vuex,npm-top,npm,vuex,category-d-blocked,2,590,"yieldOS bloqueó vuex: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue,npm-top,npm,vue,category-d-blocked,2,605,"yieldOS bloqueó vue: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:remix,npm-top,npm,remix,category-d-blocked,2,303,"yieldOS bloqueó remix: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:solid-js,npm-top,npm,solid-js,category-d-blocked,2,355,"yieldOS bloqueó solid-js: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:svelte,npm-top,npm,svelte,category-d-blocked,2,366,"yieldOS bloqueó svelte: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:astro,npm-top,npm,astro,category-d-blocked,2,347,"yieldOS bloqueó astro: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:next,npm-top,npm,next,category-d-blocked,2,368,"yieldOS bloqueó next: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:redux,npm-top,npm,redux,passthrough-or-allow,0,950,,auto,
npm:@sveltejs/kit,npm-top,npm,@sveltejs/kit,category-d-blocked,2,394,"yieldOS bloqueó @sveltejs/kit: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:express,npm-top,npm,express,category-d-blocked,2,373,"yieldOS bloqueó express: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nuxt,npm-top,npm,nuxt,category-d-blocked,2,387,"yieldOS bloqueó nuxt: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:koa,npm-top,npm,koa,category-d-blocked,2,384,"yieldOS bloqueó koa: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:fastify,npm-top,npm,fastify,category-d-blocked,2,438,"yieldOS bloqueó fastify: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:qwik,npm-top,npm,qwik,passthrough-or-allow,0,696,,auto,
npm:pinia,npm-top,npm,pinia,passthrough-or-allow,0,1303,,auto,
npm:hapi,npm-top,npm,hapi,category-d-blocked,2,464,"yieldOS bloqueó hapi: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:express-session,npm-top,npm,express-session,category-d-blocked,2,345,"yieldOS bloqueó express-session: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:cors,npm-top,npm,cors,passthrough-or-allow,0,667,,auto,
npm:typescript,npm-top,npm,typescript,category-d-blocked,2,434,"yieldOS bloqueó typescript: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:nest,npm-top,npm,nest,passthrough-or-allow,0,885,,auto,
npm:compression,npm-top,npm,compression,passthrough-or-allow,0,862,,auto,
npm:cookie-parser,npm-top,npm,cookie-parser,passthrough-or-allow,0,856,,auto,
npm:babel,npm-top,npm,babel,category-d-blocked,2,557,"yieldOS bloqueó babel: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@reduxjs/toolkit,npm-top,npm,@reduxjs/toolkit,passthrough-or-allow,0,2077,,auto,
npm:@babel/core,npm-top,npm,@babel/core,category-d-blocked,2,461,"yieldOS bloqueó @babel/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:eslint,npm-top,npm,eslint,category-d-blocked,2,354,"yieldOS bloqueó eslint: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@babel/preset-typescript,npm-top,npm,@babel/preset-typescript,category-d-blocked,2,476,"yieldOS bloqueó @babel/preset-typescript: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:morgan,npm-top,npm,morgan,passthrough-or-allow,0,1328,yieldOS instaló morgan con advertencias (ver log),auto,
npm:@babel/preset-env,npm-top,npm,@babel/preset-env,category-d-blocked,2,701,"yieldOS bloqueó @babel/preset-env: categoría crítica, requiere aprobación del equipo de seguridad",auto,
