id,dataset,manager,package,verdict,exit_code,duration_ms,message,expected,incident
npm:react-dom,npm-top,npm,react-dom,allowlist-match,0,430,,auto,
npm:react-redux,npm-top,npm,react-redux,category-d-blocked,2,456,"yieldOS bloqueó react-redux: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue-router,npm-top,npm,vue-router,category-d-blocked,2,455,"yieldOS bloqueó vue-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vue,npm-top,npm,vue,allowlist-match,0,471,,auto,
npm:@vue/composition-api,npm-top,npm,@vue/composition-api,category-d-blocked,2,466,"yieldOS bloqueó @vue/composition-api: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router,npm-top,npm,react-router,category-d-blocked,2,493,"yieldOS bloqueó react-router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:vuex,npm-top,npm,vuex,category-d-blocked,2,489,"yieldOS bloqueó vuex: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react-router-dom,npm-top,npm,react-router-dom,category-d-blocked,2,509,"yieldOS bloqueó react-router-dom: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/core,npm-top,npm,@angular/core,category-d-blocked,2,481,"yieldOS bloqueó @angular/core: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:react,npm-top,npm,react,allowlist-match,0,529,,auto,
npm:@angular/common,npm-top,npm,@angular/common,category-d-blocked,2,500,"yieldOS bloqueó @angular/common: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:@angular/router,npm-top,npm,@angular/router,category-d-blocked,2,495,"yieldOS bloqueó @angular/router: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:rxjs,npm-top,npm,rxjs,category-d-blocked,2,454,"yieldOS bloqueó rxjs: categoría crítica, requiere aprobación del equipo de seguridad",auto,
npm:pinia,npm-top,npm,pinia,verification-passed,0,690,,auto,
npm:svelte,npm-top,npm,svelte,allowlist-match,0,340,,auto,
npm:express,npm-top,npm,express,allowlist-match,0,298,,auto,
